distinction,chunk_id,location,type,printed_page,pdf_page,issue,current_rendering,proposed_disposition,status
d.41,bon-sent-I-d41-a2-q2,"line 229, [^16]",apparatus,741,331,"Vat. apparatus note: ""Omnes ferme codd. cum ed. 1 minus concinne *suunt* pro *enum*"" — both Latin tokens OCR-garbled","suunt for enum [?] retained verbatim with [?] flag","ACCEPT-ILLEGIBLE on 600dpi (already attempted); add explanatory note in print edition that printed reading is itself worn",OPEN
d.42,bon-sent-I-d42-a1-q3,"line 330/332, [^22]",apparatus,752,342,"Vat. omittit *quod*; cod. R *non quod adhuc quod est impossibile*. Trailing punctuation/marker garbled","ends with ""impossibile"").[?]","Verify trailing variant at 600dpi p.752 footer; likely confirm reading and drop [?]",OPEN
d.42,bon-sent-I-d42-a1-q3,"line 370/372, [^32]",apparatus,754,344,"cod. T *fortassis*[?] — is *fortassis* the codex T reading or a Quaracchi conjecture verb","cod. T *fortassis*[?] retained","Verify whether printed footer marks this *fortassis* as cod.-T lemma or as editor's gloss",OPEN
d.42,bon-sent-I-d42-a1-q3,"line 390/392, [^37]",apparatus,754,344,"Aristotle/Averroes citation tail: ""quia quod prius adipiscitur et indistinguitur"" — likely OCR-corrupt; sense not recoverable from context","Latin retained verbatim; English given as bracketed reconstruction with [?]","Verify printed p.754 footer 37 verbatim; reconstruct English",OPEN
d.42,bon-sent-I-d42-a1-q3,"line 412, [^38] cross-ref",apparatus,754,344,"Quaracchi gloss on *generalis* — cross-reference to the obediential-potency definition","[Cross-reference reconstructed; the Quaracchi text places the gloss on *generalis* at this site rather than re-printing it.][?]","Confirm at 600dpi whether Quaracchi reprints the gloss or merely cross-refs; drop [?] either way",OPEN
d.42,bon-sent-I-d42-a1-q3,"line 416",apparatus,754,344,"Forward cross-reference to q.IV","[See] the following question. — In question IV below, the Holy Doctor gives the reason why nature can [tend] to evil, but God cannot.[?]","Confirm phrasing in printed footer; drop [?]",OPEN
d.42,bon-sent-I-d42-a1-q4,"line 77/159, p.758 top",body,758,348,"Page-top of p.758 heavily garbled in OCR underlay; 5 inline [?] in single paragraph (obediential potency / cause-relation passage)","5 [?] in Latin body + 5 in English; editorial note inserted at line 161","Single-pass 600dpi p.758 top section: re-transcribe garbled phrases. Highest-leverage page in d.41-d.48.",OPEN
d.42,bon-sent-I-d42-a1-q4,"line 276/278, [^20]",apparatus,758,348,"Variant: ""Pro *trunco* aliqui codd. ut V Z cum ed. 1 *sl trunco*"" — *sl trunco* is OCR garble for *sub trunco* or *si trunco*","sl trunco [?] retained","Verify printed p.758 footer 20 to pick *sub* vs *si*",OPEN
d.45,bon-sent-I-d45-a1-q2,"line 261, [^25]",apparatus,802,392,"Quaracchi footer on p.802 does not number a fresh entry past 6; [^25] anchored on parenthesized gloss inside preceding note","[Cross-reference summary; ... See [?] note in Notes section below.]","Confirm at 600dpi whether note 7 is actually present on p.802 or absent; if absent, drop [^25] and renumber",OPEN
d.45,bon-sent-I-d45-a1-q2,"line 269, body Ad 4",body,801,391,"Body has ""Potest tamen dici[?]"" — OCR garbled punctuation","Light-flag retained","Drop [?] after 600dpi confirmation of ""dici""",OPEN
